,lambda_0,I_0
1.0,0.19463387085396222,57.71406365779788
2.0,0.2780887525038731,4.941177612052584
3.0,-0.04433131374722499,20.560845409710097
4.0,-0.0452850550042283,34.29402998657391
5.0,0.24203681286338963,8.956136012042645
6.0,0.23671236141149665,4.042823217083363
7.0,0.14489254569848845,25.967212337997406
8.0,0.35471512942711625,33.25034923253278
9.0,0.36527719386944246,19.593660639018065
10.0,0.24029184161924044,18.913440539368583
11.0,0.02136157244520409,76.99813374107653
12.0,0.09061501124320792,87.52575873626233
13.0,-0.0451192784389054,234.17934370730723
14.0,0.11053517560350778,105.01781656222327
15.0,0.1601241145211605,15.607436506973103
16.0,0.03117289881282879,29.361896236361385
17.0,0.3182400060751855,19.560463096021472
18.0,0.2064585507513268,9.809792883462563
19.0,0.7236259345948142,1.696185793999524
20.0,0.46978338066658387,20.54851946698349
21.0,0.0632522558723081,18.647984087977605
22.0,0.2149491966950008,64.81436273251813
23.0,0.19121517371163532,39.40948819576625
24.0,0.47087791685955727,8.585814486653062
25.0,-0.1909542504910411,15.305094007567154
26.0,-0.2313939193987804,63.61844631722628
27.0,-0.23510709924100937,157.73763111881115
28.0,-0.052203353709252553,95.25093201613126
29.0,0.04317824164046691,9.74757385533506
30.0,-0.056440222469242185,28.166208203142126
31.0,0.3360375387127421,3.80730787743455
32.0,0.7914252278737891,1.2967441161075648
33.0,0.4019621016026163,13.905950167030177
34.0,0.4714254304745162,19.28932004786969
35.0,0.07454729995415033,19.12035083732981
36.0,0.3971863020118327,3.650186043301704
37.0,0.1967593241525748,8.13925624971628
38.0,0.46836116122830596,4.880584425394418
39.0,0.3014750278995782,4.35275281841463
40.0,-0.1704240665516814,66.9199807578912
41.0,-0.04953214372529158,11.72062420637143
42.0,-0.1435084525314263,24.231597967944065
43.0,0.0706723040455216,11.851482618861722
44.0,-0.1491347137148098,16.015127617402438
45.0,0.051594072441207395,10.881121437861706
46.0,0.421212759786586,7.548023035040318
47.0,-0.440712813443096,4.573050519278446
