,lambda_0,I_0
1.0,0.1006842435270946,2.7310625584998838
2.0,0.015141735002898948,2.1428277388001895
3.0,0.03527466567524684,1.0127798528069056
4.0,0.09624373044473311,1.5175077688507161
5.0,0.07431054816125426,0.8288183915607424
6.0,0.10077620947342969,1.0490604136570076
7.0,0.15179056785755674,0.8607608534258899
8.0,0.14153510139153946,1.4373800684278482
9.0,0.1660516745372056,0.8156017583102043
10.0,0.17995990223012281,1.423350864281931
11.0,0.11135777626649512,9.27352714610458
12.0,0.2526733493949611,2.5740051576902356
13.0,0.19104105556714068,11.655933994795213
14.0,0.1882452172732766,9.960174311623195
15.0,0.181027872117557,1.3346032578938034
16.0,0.012590040757312071,1.46997536591958
17.0,-0.03703542309394385,1.5152439234267678
18.0,0.005612527775644471,1.2622803701264682
19.0,0.021383628009462363,2.1197702040900586
20.0,0.11073726045000332,1.5168552287110133
21.0,0.11491501537724406,1.0982401730175515
22.0,0.1602597499725874,2.0883835314247237
23.0,0.14293442202135864,1.6839603667340148
24.0,0.10896309130290238,1.0542467753342857
25.0,0.0018746374029884327,1.3980682133837836
26.0,0.08186436227784688,1.231388274452373
27.0,0.06619706627604882,2.5387853084189067
28.0,0.06390794772155972,3.2124810786316793
29.0,0.08167597357660217,0.8087428674314787
30.0,0.08359849387112772,0.94916548963861
31.0,-0.04448492964413564,2.6864680330043234
32.0,0.019145632026128512,1.507117454205896
33.0,0.09451614180886048,0.8635920819854294
34.0,0.025402374458637023,2.8252305241124387
35.0,0.20377298698387705,0.6947992100917787
36.0,0.07603419557588942,0.8951018549069939
37.0,0.05127570326919917,1.3028974705986625
38.0,0.10394793683980766,1.3984338271957855
39.0,0.0,1.0
40.0,0.14685205225010045,1.9261213145844436
41.0,-0.0038452194076281643,1.5623554765494096
42.0,-0.0031299211740007937,2.101440913049021
43.0,0.0031510514037358384,2.105512526286164
44.0,0.08575629647045135,1.0764517505026119
45.0,-0.014050280689237526,1.896405723311766
46.0,-0.008200120990401238,1.4612705404107544
47.0,0.015262639312007775,1.2023385478657465
