,lambda_0,I_0
1.0,0.07477575416460569,10.395377389918481
2.0,0.03864409621283271,1.6239461244054414
3.0,0.003449931468784917,4.0578485482483515
4.0,0.003165235811844358,7.665017933334304
5.0,0.04990352526493169,1.7493466814519507
6.0,0.04350141483507064,1.383293739497931
7.0,0.1114574403651658,3.231663871496292
8.0,0.22287073829163306,3.012015869129009
9.0,0.21521716290292336,1.798413441897629
10.0,0.16862553581951534,1.9134815812547066
11.0,0.1353600580185541,8.363543275324457
12.0,0.11267039180432754,11.615337373213814
13.0,0.10329224304668894,29.086515948635025
14.0,0.1665859608539323,10.417831553278448
15.0,0.1021639236350882,2.369172181979756
16.0,0.1006630995368853,3.7927709717333316
17.0,0.1894998911211332,2.072414820362965
18.0,0.09997946874225883,1.7094437789365375
19.0,0.1132311043930212,0.826474611940121
20.0,0.21055592555675418,2.1363002713142496
21.0,0.034868128170814305,3.626510522252641
22.0,0.18183739895699358,6.328824659988292
23.0,0.15267436453037703,4.245046608167719
24.0,0.17048947422413008,1.3187446302383181
25.0,0.054623936023391155,1.7692067311373791
26.0,0.017674683965523297,10.285864601605075
27.0,0.0008439414534490153,29.590287918061694
28.0,0.05566635254909802,15.361808373728598
29.0,-0.030055446703852517,2.7415030557695697
30.0,0.10857335237281361,2.726045917534995
31.0,0.1556487745068379,0.7678447117914976
32.0,0.14317597005454927,0.6089149075685243
33.0,0.18642123917019426,1.808646020594527
34.0,0.2292039796697333,1.815696709284285
35.0,0.09455805376822957,2.6804948108499356
36.0,0.0298809556353683,1.457802563274629
37.0,0.03250941501900495,2.0169685579424548
38.0,0.12311848281628485,0.9814940117686627
39.0,0.046484409224405554,1.255679949359518
40.0,-0.03374234776190921,16.333586423757954
41.0,-0.004407981384261905,2.9919933221922705
42.0,0.0641217844680233,3.4266396452533106
43.0,0.03771041017818633,2.5760559590445076
44.0,-0.06609645600552994,4.752284796180366
45.0,0.012962535482308302,2.5331403964324757
46.0,0.128983562608016,1.3546041910875526
47.0,-0.028681952301275793,1.5598197358367778
