都道府県,０－４歳【人】,都道府県コード
北海道,352073,1
青森県,98778,2
岩手県,90872,3
宮城県,147629,4
秋田県,74332,5
山形県,77896,6
福島県,141275,7
茨城県,178816,8
栃木県,123760,9
群馬県,119908,10
埼玉県,365844,11
千葉県,327127,12
東京都,620843,13
神奈川県,446129,14
新潟県,152967,15
富山県,63268,16
石川県,70341,17
福井県,51542,18
山梨県,50012,19
長野県,126554,20
岐阜県,124269,21
静岡県,228290,22
愛知県,409877,23
三重県,104193,24
滋賀県,78441,25
京都府,151182,26
大阪府,517246,27
兵庫県,324476,28
奈良県,79690,29
和歌山県,63444,30
鳥取県,39644,31
島根県,47830,32
岡山県,117195,33
広島県,173882,34
山口県,93505,35
徳島県,50416,36
香川県,60517,37
愛媛県,92926,38
高知県,48751,39
福岡県,306991,40
佐賀県,59649,41
長崎県,107372,42
熊本県,119835,43
大分県,76190,44
宮崎県,80629,45
鹿児島県,121977,46
沖縄県,100880,47
