"統計名：","昭和60年国勢調査 第1次基本集計 全国編"
"表番号：","00301"
"表題：","男女の別（性別）（３），年齢５歳階級（２３）人口及び平均年齢・年齢中位数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別"
"実施年月：","1985年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","","","/年齢５歳Ａ等030125 コード","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025"
"","","","","","","","","","","","","/年齢５歳Ａ等030125 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"全域・集中の別030002 コード","全域・集中の別030002 補助コード","全域・集中の別030002","男女Ａ030001 コード","男女Ａ030001 補助コード","男女Ａ030001","時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","全国都道府県030001 コード","全国都道府県030001 補助コード","全国都道府県030001","/年齢５歳Ａ等030125","総数【人】","０－４歳【人】","５－９歳【人】","１０－１４歳【人】","１５－１９歳【人】","２０－２４歳【人】","２５－２９歳【人】","３０－３４歳【人】","３５－３９歳【人】","４０－４４歳【人】","４５－４９歳【人】","５０－５４歳【人】","５５－５９歳【人】","６０－６４歳【人】","６５－６９歳【人】","７０－７４歳【人】","７５－７９歳【人】","８０－８４歳【人】","８５－８９歳【人】","９０－９４歳【人】","９５－９９歳【人】","１００歳以上【人】","年齢不詳【人】","平均年齢【歳】","年齢中位数【歳】"
"00700","","全域","000","","男女総数","1985000000","","1985年","00000","","全国","","121,048,923","7,459,263","8,531,834","10,042,121","8,979,947","8,200,554","7,823,402","9,054,224","10,738,044","9,134,954","8,236,614","7,932,994","6,999,745","5,405,538","4,193,419","3,563,397","2,493,343","1,432,937","603,534","157,228","22,727","1,758","41,346","35.7","35.2"
"00700","","全域","000","","男女総数","1985000000","","1985年","00001","","全国市部","","92,889,236","5,715,482","6,492,373","7,744,941","7,138,599","6,760,146","6,188,285","7,044,273","8,460,219","7,265,141","6,418,621","5,984,058","5,084,292","3,854,427","2,964,885","2,506,982","1,730,525","975,677","401,949","102,268","14,587","1,147","40,359","35.0","34.6"
"00700","","全域","000","","男女総数","1985000000","","1985年","00002","","全国郡部","","28,159,687","1,743,781","2,039,461","2,297,180","1,841,348","1,440,408","1,635,117","2,009,951","2,277,825","1,869,813","1,817,993","1,948,936","1,915,453","1,551,111","1,228,534","1,056,415","762,818","457,260","201,585","54,960","8,140","611","987","37.8","37.2"
"00700","","全域","000","","男女総数","1985000000","","1985年","01000","","北海道","","5,679,439","352,073","405,226","460,660","412,479","376,187","372,732","455,435","511,932","414,669","390,732","382,461","334,193","259,909","198,792","156,177","105,601","58,524","23,574","5,892","860","67","1,264","35.5","35.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","02000","","青森県","","1,524,448","98,778","112,465","127,311","111,294","90,408","100,590","118,712","128,121","102,523","103,021","107,269","93,343","72,048","55,164","46,220","31,417","17,135","6,797","1,605","189","20","18","35.7","35.1"
"00700","","全域","000","","男女総数","1985000000","","1985年","03000","","岩手県","","1,433,611","90,872","103,755","113,173","95,965","76,119","89,716","107,283","112,506","94,687","99,263","105,306","98,742","75,838","59,347","48,609","33,332","19,121","7,721","1,992","247","17","***","37.1","36.6"
"00700","","全域","000","","男女総数","1985000000","","1985年","04000","","宮城県","","2,176,295","147,629","162,178","171,092","157,236","151,990","149,398","174,503","182,716","146,171","140,915","142,334","131,549","102,008","75,760","61,691","42,269","23,430","9,379","2,543","356","29","1,119","35.2","34.3"
"00700","","全域","000","","男女総数","1985000000","","1985年","05000","","秋田県","","1,254,032","74,332","85,883","90,187","76,409","62,094","78,886","95,179","101,628","81,326","88,092","96,866","92,785","72,208","56,670","45,231","30,891","17,054","6,544","1,545","139","12","71","38.2","37.9"
"00700","","全域","000","","男女総数","1985000000","","1985年","06000","","山形県","","1,261,662","77,896","87,205","90,752","77,097","65,909","78,984","93,861","97,571","78,631","83,047","91,936","93,588","75,595","57,088","49,004","34,190","19,808","7,443","1,754","231","7","65","38.4","37.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","07000","","福島県","","2,080,304","141,275","155,497","163,995","135,670","115,776","136,774","160,816","163,058","130,914","131,146","143,085","141,366","112,951","85,405","70,512","49,215","28,168","11,284","2,916","427","20","34","36.7","35.8"
"00700","","全域","000","","男女総数","1985000000","","1985年","08000","","茨城県","","2,725,005","178,816","208,782","239,914","196,703","164,072","174,654","215,414","243,610","204,591","177,424","164,690","154,663","122,876","95,501","81,489","54,736","30,439","12,600","3,252","452","34","293","35.2","34.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","09000","","栃木県","","1,866,066","123,760","141,810","160,237","128,761","107,274","122,668","150,014","167,240","132,400","117,481","116,837","111,930","89,256","68,520","56,771","38,046","21,769","8,689","2,226","294","13","70","35.5","35.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","10000","","群馬県","","1,921,259","119,908","140,516","164,405","137,652","110,645","117,582","144,675","172,652","142,814","124,616","122,509","116,390","92,000","73,208","61,718","42,534","24,930","9,709","2,433","310","29","24","36.1","35.7"
"00700","","全域","000","","男女総数","1985000000","","1985年","11000","","埼玉県","","5,863,678","365,844","448,822","565,514","492,913","403,236","354,233","449,471","584,626","530,782","437,445","348,713","264,970","194,184","150,317","124,488","80,245","43,561","16,819","4,094","539","36","2,826","33.3","33.5"
"00700","","全域","000","","男女総数","1985000000","","1985年","12000","","千葉県","","5,148,163","327,127","390,469","474,218","404,390","340,879","324,185","401,393","508,537","449,356","373,318","314,979","248,354","182,068","141,050","118,219","78,846","45,125","18,756","4,415","650","34","1,795","33.9","34.0"
"00700","","全域","000","","男女総数","1985000000","","1985年","13000","","東京都","","11,829,363","620,843","666,781","837,713","934,068","1,181,783","919,931","909,087","1,052,373","920,175","833,307","778,265","632,913","476,397","362,572","302,128","207,551","119,756","49,386","12,482","1,834","141","9,877","35.3","34.2"
